world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag,rank_date,clean_country,rank
1998,France,South Africa,Group stage,1.0,3.0,0.0,3,6,1998-06-10,0.1739130434782608,1998-05-20,South Africa,24.0
2002,Korea/Japan,South Africa,Group stage,1.0,3.0,1.0,5,5,2002-05-31,0.1739130434782608,2002-05-15,South Africa,37.0
2006,Germany,South Africa,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,South Africa,53.0
2010,South Africa,South Africa,Group stage,1.0,3.0,1.0,3,5,2010-06-11,0.1304347826086956,2010-05-26,South Africa,83.0
2014,Brazil,South Africa,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,South Africa,65.0
2018,Russia,South Africa,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,South Africa,74.0
2022,Qatar,South Africa,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,South Africa,67.0
1994,USA,South Korea,Group stage,1.0,3.0,0.0,4,5,1994-06-17,0.0,1994-06-14,South Korea,37.0
1998,France,South Korea,Group stage,1.0,3.0,0.0,2,9,1998-06-10,0.0454545454545454,1998-05-20,South Korea,20.0
2002,Korea/Japan,South Korea,Fourth place,4.0,7.0,3.0,8,6,2002-05-31,0.0434782608695652,2002-05-15,South Korea,40.0
2006,Germany,South Korea,Group stage,1.0,3.0,1.0,3,4,2006-06-09,0.1304347826086956,2006-05-17,South Korea,29.0
2010,South Africa,South Korea,Round of 16,2.0,4.0,1.0,6,8,2010-06-11,0.1739130434782608,2010-05-26,South Korea,47.0
2014,Brazil,South Korea,Group stage,1.0,3.0,0.0,3,6,2014-06-12,0.217391304347826,2014-06-05,South Korea,57.0
2018,Russia,South Korea,Group stage,1.0,3.0,1.0,3,3,2018-06-14,0.1304347826086956,2018-06-07,South Korea,57.0
2022,Qatar,South Korea,Round of 16,2.0,4.0,1.0,5,8,2022-11-20,0.2307692307692307,2022-10-06,South Korea,28.0
1994,USA,Spain,Quarter-finals,3.0,5.0,2.0,10,6,1994-06-17,1.0,1994-06-14,Spain,5.0
1998,France,Spain,Group stage,1.0,3.0,1.0,8,4,1998-06-10,1.0,1998-05-20,Spain,15.0
2002,Korea/Japan,Spain,Quarter-finals,3.0,5.0,4.0,10,5,2002-05-31,1.0,2002-05-15,Spain,8.0
2006,Germany,Spain,Round of 16,2.0,4.0,3.0,9,4,2006-06-09,1.0,2006-05-17,Spain,5.0
2010,South Africa,Spain,Winner,7.0,7.0,6.0,8,2,2010-06-11,1.0,2010-05-26,Spain,2.0
2014,Brazil,Spain,Group stage,1.0,3.0,1.0,4,7,2014-06-12,1.0,2014-06-05,Spain,1.0
2018,Russia,Spain,Round of 16,2.0,4.0,1.0,7,6,2018-06-14,1.0,2018-06-07,Spain,10.0
2022,Qatar,Spain,Round of 16,2.0,4.0,1.0,9,3,2022-11-20,0.9615384615384616,2022-10-06,Spain,7.0
1994,USA,Sweden,Third place,5.0,7.0,4.0,15,8,1994-06-17,0.3181818181818182,1994-06-14,Sweden,10.0
1998,France,Sweden,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Sweden,28.0
2002,Korea/Japan,Sweden,Round of 16,2.0,4.0,1.0,5,5,2002-05-31,0.4347826086956521,2002-05-15,Sweden,19.0
2006,Germany,Sweden,Round of 16,2.0,4.0,1.0,3,4,2006-06-09,0.3043478260869565,2006-05-17,Sweden,16.0
2010,South Africa,Sweden,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Sweden,37.0
2014,Brazil,Sweden,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Sweden,32.0
2018,Russia,Sweden,Quarter-finals,3.0,5.0,3.0,6,4,2018-06-14,0.6086956521739131,2018-06-07,Sweden,24.0
2022,Qatar,Sweden,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Sweden,25.0
1994,USA,Switzerland,Round of 16,2.0,4.0,1.0,5,7,1994-06-17,0.1818181818181818,1994-06-14,Switzerland,12.0
1998,France,Switzerland,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Switzerland,81.0
2002,Korea/Japan,Switzerland,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Switzerland,64.0
2006,Germany,Switzerland,Round of 16,2.0,4.0,2.0,4,0,2006-06-09,0.5652173913043478,2006-05-17,Switzerland,35.0
2010,South Africa,Switzerland,Group stage,1.0,3.0,1.0,1,1,2010-06-11,0.5652173913043478,2010-05-26,Switzerland,24.0
2014,Brazil,Switzerland,Round of 16,2.0,4.0,2.0,7,7,2014-06-12,0.6956521739130435,2014-06-05,Switzerland,6.0
2018,Russia,Switzerland,Round of 16,2.0,4.0,1.0,5,5,2018-06-14,0.782608695652174,2018-06-07,Switzerland,6.0
2022,Qatar,Switzerland,Round of 16,2.0,4.0,2.0,5,9,2022-11-20,0.5769230769230769,2022-10-06,Switzerland,15.0
1994,USA,Togo,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Togo,123.0
1998,France,Togo,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Togo,73.0
2002,Korea/Japan,Togo,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Togo,69.0
2006,Germany,Togo,Group stage,1.0,3.0,0.0,1,6,2006-06-09,0.1304347826086956,2006-05-17,Togo,61.0
2010,South Africa,Togo,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Togo,76.0
2014,Brazil,Togo,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Togo,88.0
2018,Russia,Togo,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Togo,125.0
2022,Qatar,Togo,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Togo,127.0
1994,USA,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Trinidad and Tobago,84.0
1998,France,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Trinidad and Tobago,48.0
2002,Korea/Japan,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Trinidad and Tobago,35.0
2006,Germany,Trinidad and Tobago,Group stage,1.0,3.0,0.0,0,4,2006-06-09,0.0434782608695652,2006-05-17,Trinidad and Tobago,47.0
2010,South Africa,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Trinidad and Tobago,95.0
2014,Brazil,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Trinidad and Tobago,71.0
2018,Russia,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Trinidad and Tobago,91.0
2022,Qatar,Trinidad and Tobago,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Trinidad and Tobago,104.0
1994,USA,Tunisia,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Tunisia,30.0
1998,France,Tunisia,Group stage,1.0,3.0,0.0,1,4,1998-06-10,0.0454545454545454,1998-05-20,Tunisia,21.0
2002,Korea/Japan,Tunisia,Group stage,1.0,3.0,0.0,1,5,2002-05-31,0.0434782608695652,2002-05-15,Tunisia,31.0
2006,Germany,Tunisia,Group stage,1.0,3.0,0.0,3,6,2006-06-09,0.4347826086956521,2006-05-17,Tunisia,21.0
2010,South Africa,Tunisia,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Tunisia,55.0
2014,Brazil,Tunisia,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Tunisia,48.0
2018,Russia,Tunisia,Group stage,1.0,3.0,1.0,5,8,2018-06-14,0.3043478260869565,2018-06-07,Tunisia,21.0
2022,Qatar,Tunisia,Group stage,1.0,3.0,1.0,1,1,2022-11-20,0.1538461538461538,2022-10-06,Tunisia,30.0
1994,USA,Turkey,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Turkey,57.0
1998,France,Turkey,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Turkey,53.0
2002,Korea/Japan,Turkey,Third place,5.0,7.0,4.0,10,6,2002-05-31,0.391304347826087,2002-05-15,Turkey,22.0
2006,Germany,Turkey,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Turkey,14.0
2010,South Africa,Turkey,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Turkey,29.0
2014,Brazil,Turkey,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Turkey,35.0
2018,Russia,Turkey,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Turkey,38.0
2022,Qatar,Turkey,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Turkey,45.0
1994,USA,Ukraine,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Ukraine,83.0
1998,France,Ukraine,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Ukraine,64.0
2002,Korea/Japan,Ukraine,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Ukraine,44.0
2006,Germany,Ukraine,Quarter-finals,3.0,5.0,3.0,5,7,2006-06-09,0.0,2006-05-17,Ukraine,45.0
2010,South Africa,Ukraine,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Ukraine,23.0
2014,Brazil,Ukraine,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Ukraine,16.0
2018,Russia,Ukraine,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Ukraine,35.0
2022,Qatar,Ukraine,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Ukraine,27.0
1994,USA,United States,Round of 16,2.0,4.0,1.0,3,4,1994-06-17,0.0454545454545454,1994-06-14,United States,23.0
1998,France,United States,Group stage,1.0,3.0,0.0,1,5,1998-06-10,0.1363636363636363,1998-05-20,United States,11.0
2002,Korea/Japan,United States,Quarter-finals,3.0,5.0,2.0,7,7,2002-05-31,0.3043478260869565,2002-05-15,United States,13.0
2006,Germany,United States,Group stage,1.0,3.0,0.0,2,6,2006-06-09,0.2608695652173913,2006-05-17,United States,5.0
2010,South Africa,United States,Round of 16,2.0,4.0,1.0,5,5,2010-06-11,0.5217391304347826,2010-05-26,United States,14.0
2014,Brazil,United States,Round of 16,2.0,4.0,1.0,5,6,2014-06-12,0.3478260869565217,2014-06-05,United States,13.0
2018,Russia,United States,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,United States,25.0
2022,Qatar,United States,Round of 16,2.0,4.0,1.0,3,4,2022-11-20,0.4615384615384615,2022-10-06,United States,16.0
1994,USA,Uruguay,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Uruguay,18.0
1998,France,Uruguay,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Uruguay,38.0
2002,Korea/Japan,Uruguay,Group stage,1.0,3.0,0.0,4,5,2002-05-31,0.5652173913043478,2002-05-15,Uruguay,24.0
2006,Germany,Uruguay,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Uruguay,22.0
2010,South Africa,Uruguay,Fourth place,4.0,7.0,4.0,11,8,2010-06-11,0.3043478260869565,2010-05-26,Uruguay,16.0
2014,Brazil,Uruguay,Round of 16,2.0,4.0,2.0,4,6,2014-06-12,0.5217391304347826,2014-06-05,Uruguay,7.0
2018,Russia,Uruguay,Quarter-finals,3.0,5.0,4.0,7,3,2018-06-14,0.4782608695652174,2018-06-07,Uruguay,14.0
2022,Qatar,Uruguay,Group stage,1.0,3.0,1.0,2,2,2022-11-20,0.3846153846153846,2022-10-06,Uruguay,14.0
1994,USA,Wales,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Wales,35.0
1998,France,Wales,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Wales,103.0
2002,Korea/Japan,Wales,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Wales,96.0
2006,Germany,Wales,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Wales,74.0
2010,South Africa,Wales,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Wales,77.0
2014,Brazil,Wales,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Wales,41.0
2018,Russia,Wales,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Wales,18.0
2022,Qatar,Wales,Group stage,1.0,3.0,0.0,1,6,2022-11-20,0.2307692307692307,2022-10-06,Wales,19.0
