world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag,rank_date,clean_country,rank
1994,USA,Cameroon,Group stage,1.0,3.0,0.0,3,11,1994-06-17,0.1818181818181818,1994-06-14,Cameroon,24.0
1998,France,Cameroon,Group stage,1.0,3.0,0.0,2,5,1998-06-10,0.3181818181818182,1998-05-20,Cameroon,49.0
2002,Korea/Japan,Cameroon,Group stage,1.0,3.0,1.0,2,3,2002-05-31,0.5652173913043478,2002-05-15,Cameroon,17.0
2006,Germany,Cameroon,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Cameroon,15.0
2010,South Africa,Cameroon,Group stage,1.0,3.0,0.0,2,5,2010-06-11,0.6521739130434783,2010-05-26,Cameroon,19.0
2014,Brazil,Cameroon,Group stage,1.0,3.0,0.0,1,9,2014-06-12,0.4782608695652174,2014-06-05,Cameroon,56.0
2018,Russia,Cameroon,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Cameroon,49.0
2022,Qatar,Cameroon,Group stage,1.0,3.0,1.0,4,4,2022-11-20,0.3846153846153846,2022-10-06,Cameroon,43.0
1994,USA,Canada,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Canada,54.0
1998,France,Canada,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Canada,77.0
2002,Korea/Japan,Canada,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Canada,75.0
2006,Germany,Canada,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Canada,83.0
2010,South Africa,Canada,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Canada,63.0
2014,Brazil,Canada,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Canada,110.0
2018,Russia,Canada,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Canada,79.0
2022,Qatar,Canada,Group stage,1.0,3.0,0.0,2,7,2022-11-20,0.1153846153846153,2022-10-06,Canada,41.0
1994,USA,Chile,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Chile,40.0
1998,France,Chile,Round of 16,2.0,4.0,0.0,5,8,1998-06-10,0.0454545454545454,1998-05-20,Chile,9.0
2002,Korea/Japan,Chile,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Chile,45.0
2006,Germany,Chile,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Chile,64.0
2010,South Africa,Chile,Round of 16,2.0,4.0,2.0,3,5,2010-06-11,0.1739130434782608,2010-05-26,Chile,18.0
2014,Brazil,Chile,Round of 16,2.0,4.0,2.0,6,4,2014-06-12,0.4347826086956521,2014-06-05,Chile,14.0
2018,Russia,Chile,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Chile,9.0
2022,Qatar,Chile,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Chile,29.0
1994,USA,China,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,China,59.0
1998,France,China,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,China,51.0
2002,Korea/Japan,China,Group stage,1.0,3.0,0.0,0,9,2002-05-31,0.0,2002-05-15,China,50.0
2006,Germany,China,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,China,68.0
2010,South Africa,China,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,China,84.0
2014,Brazil,China,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,China,103.0
2018,Russia,China,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,China,75.0
2022,Qatar,China,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,China,79.0
1994,USA,Colombia,Group stage,1.0,3.0,1.0,4,5,1994-06-17,0.1363636363636363,1994-06-14,Colombia,17.0
1998,France,Colombia,Group stage,1.0,3.0,1.0,1,3,1998-06-10,0.1363636363636363,1998-05-20,Colombia,10.0
2002,Korea/Japan,Colombia,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Colombia,4.0
2006,Germany,Colombia,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Colombia,27.0
