world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag
2002,Korea/Japan,Japan,Round of 16,2.0,4.0,2.0,5,3,2002-05-31,0.08695652173913043
2006,Germany,Japan,Group stage,1.0,3.0,0.0,2,7,2006-06-09,0.13043478260869565
2010,South Africa,Japan,Round of 16,2.0,4.0,2.0,4,2,2010-06-11,0.13043478260869565
2014,Brazil,Japan,Group stage,1.0,3.0,0.0,2,6,2014-06-12,0.43478260869565216
2018,Russia,Japan,Round of 16,2.0,4.0,1.0,6,7,2018-06-14,0.4782608695652174
2022,Qatar,Japan,Round of 16,2.0,4.0,2.0,5,4,2022-11-20,0.38461538461538464
1994,USA,Mexico,Round of 16,2.0,4.0,1.0,4,4,1994-06-17,0.09090909090909091
1998,France,Mexico,Round of 16,2.0,4.0,1.0,8,7,1998-06-10,0.0
2002,Korea/Japan,Mexico,Round of 16,2.0,4.0,2.0,4,4,2002-05-31,0.17391304347826086
2006,Germany,Mexico,Round of 16,2.0,4.0,1.0,5,5,2006-06-09,0.13043478260869565
2010,South Africa,Mexico,Round of 16,2.0,4.0,1.0,4,5,2010-06-11,0.21739130434782608
2014,Brazil,Mexico,Round of 16,2.0,4.0,2.0,5,3,2014-06-12,0.2608695652173913
2018,Russia,Mexico,Round of 16,2.0,4.0,2.0,3,6,2018-06-14,0.2608695652173913
2022,Qatar,Mexico,Group stage,1.0,3.0,1.0,2,3,2022-11-20,0.11538461538461539
1994,USA,Morocco,Group stage,1.0,3.0,0.0,2,5,1994-06-17,0.13636363636363635
1998,France,Morocco,Group stage,1.0,3.0,1.0,5,5,1998-06-10,0.3181818181818182
2018,Russia,Morocco,Group stage,1.0,3.0,0.0,2,4,2018-06-14,0.391304347826087
2022,Qatar,Morocco,Fourth place,4.0,7.0,4.0,6,5,2022-11-20,0.5
1994,USA,Netherlands,Quarter-finals,3.0,5.0,3.0,8,6,1994-06-17,0.22727272727272727
1998,France,Netherlands,Fourth place,4.0,7.0,3.0,13,7,1998-06-10,0.5
2006,Germany,Netherlands,Round of 16,2.0,4.0,2.0,3,2,2006-06-09,0.391304347826087
2010,South Africa,Netherlands,Runners-up,6.0,7.0,6.0,12,6,2010-06-11,0.5652173913043478
2014,Brazil,Netherlands,Third place,5.0,7.0,6.0,15,4,2014-06-12,0.391304347826087
2022,Qatar,Netherlands,Quarter-finals,3.0,5.0,3.0,10,4,2022-11-20,0.4230769230769231
