world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against
2006,Germany,Canada,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Canada,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Canada,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Canada,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Chile,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Chile,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Chile,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Chile,Round of 16,2.0,4.0,0.0,5.0,8.0
2002,Korea/Japan,Chile,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Chile,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Chile,Round of 16,2.0,4.0,2.0,3.0,5.0
2014,Brazil,Chile,Round of 16,2.0,4.0,2.0,6.0,4.0
2018,Russia,Chile,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,China,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,China,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,China,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,China,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,China,Group stage,1.0,3.0,0.0,0.0,9.0
2006,Germany,China,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,China,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,China,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,China,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Colombia,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Colombia,Round of 16,2.0,4.0,1.0,4.0,4.0
1994,USA,Colombia,Group stage,1.0,3.0,1.0,4.0,5.0
1998,France,Colombia,Group stage,1.0,3.0,1.0,1.0,3.0
2002,Korea/Japan,Colombia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Colombia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Colombia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Colombia,Quarter-finals,3.0,5.0,4.0,12.0,4.0
2018,Russia,Colombia,Round of 16,2.0,4.0,2.0,6.0,3.0
1986,Mexico,Costa Rica,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Costa Rica,Round of 16,2.0,4.0,2.0,4.0,6.0
1994,USA,Costa Rica,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Costa Rica,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Costa Rica,Group stage,1.0,3.0,1.0,5.0,6.0
2006,Germany,Costa Rica,Group stage,1.0,3.0,0.0,3.0,9.0
2010,South Africa,Costa Rica,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Costa Rica,Quarter-finals,3.0,5.0,2.0,5.0,2.0
2018,Russia,Costa Rica,Group stage,1.0,3.0,0.0,2.0,5.0
1986,Mexico,Croatia,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Croatia,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Croatia,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Croatia,Third place,5.0,7.0,5.0,11.0,5.0
2002,Korea/Japan,Croatia,Group stage,1.0,3.0,1.0,2.0,3.0
2006,Germany,Croatia,Group stage,1.0,3.0,0.0,2.0,3.0
2010,South Africa,Croatia,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Croatia,Group stage,1.0,3.0,1.0,6.0,6.0
2018,Russia,Croatia,Runners-up,6.0,7.0,6.0,14.0,9.0
1986,Mexico,Czech Republic,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Czech Republic,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Czech Republic,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Czech Republic,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Czech Republic,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Czech Republic,Group stage,1.0,3.0,1.0,3.0,4.0
2010,South Africa,Czech Republic,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Czech Republic,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Czech Republic,Did not qualify,0.0,0.0,0.0,0.0,0.0
