world_cup_year,team,host_country,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,Big5_flag,start_date,rank_date,clean_country,rank,gdp_per_capita_tminus0,gdp_per_capita_tminus1,gdp_per_capita_tminus2,gdp_per_capita_tminus3,norm_gdp_per_capita_tminus0,norm_gdp_per_capita_tminus1,norm_gdp_per_capita_tminus2,norm_gdp_per_capita_tminus3,hdi_tminus0,hdi_tminus1,hdi_tminus2,hdi_tminus3,life_expectancy_tminus0,life_expectancy_tminus1,life_expectancy_tminus2,life_expectancy_tminus3,mean_school_years_tminus0,mean_school_years_tminus1,mean_school_years_tminus2,mean_school_years_tminus3
2018,Argentina,Russia,Round of 16,2.0,4.0,1.0,6.0,9.0,0.6086956521739131,2018-06-14,2018-06-07,Argentina,5.0,11752.7998922979,14532.5009308511,12699.9623137756,13679.6264980954,0.1357206202202431,0.2869488060243626,0.1872504979571895,0.2405486171567519,0.861,0.861,0.857,0.859,76.77,76.543,76.105,76.6,11.10000038,11.01500034,10.93000031,10.92000008
2022,Argentina,Qatar,Winner,7.0,7.0,6.0,15.0,8.0,0.8076923076923077,2022-11-20,2022-10-06,Argentina,3.0,13935.6811110049,10738.0179223384,8535.59938004389,9955.97478680428,0.2544791348779074,0.0805119362016259,-0.0393094963600245,0.0379652871314271,0.858,0.847,0.851,0.861,75.806,73.948,75.878,76.847,11.18458184,11.18458184,11.14000034,11.12000036
1994,Australia,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,Australia,47.0,18129.6353064456,17699.8764915704,18624.1877335866,18859.9074576986,0.4826490263609819,0.459268222092645,0.5095548933244611,0.5223791020221917,0.873,0.872,0.868,0.868,77.852,78.006,77.473,77.481,11.31355648,11.29150667,11.26945686,11.24740705
1998,Australia,France,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1998-06-10,1998-05-20,Australia,32.0,21479.1142020092,23646.6230457327,22021.7839065228,20448.1219685874,0.6648756794218141,0.7827978680328956,0.6943993417747857,0.6087850844707584,0.891,0.887,0.884,0.882,79.02,78.626,78.344,78.257,11.30553836,11.31556101,11.32558365,11.33560629
2002,Australia,Korea/Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2002-05-31,2002-05-15,Australia,48.0,20301.8431713256,19695.7297379144,21870.4159669594,20712.6697805564,0.6008268627682459,0.5678515774210166,0.6861642479385813,0.623177670258813,0.902,0.9,0.897,0.893,80.052,80.006,79.621,79.277,11.39774666,11.34161987,11.28549308,11.29551572
2006,Australia,Germany,Round of 16,2.0,4.0,1.0,5.0,6.0,0.5217391304347826,2006-06-09,2006-05-17,Australia,42.0,36595.7071548423,34479.7679298388,30836.7306824685,23718.1338501868,1.4872860379782689,1.3721694675878056,1.1739719254437064,0.7866883760670313,0.917,0.914,0.91,0.906,81.258,81.092,80.733,80.44,11.64000034,11.55000019,11.51000023,11.45387344
2010,Australia,South Africa,Group stage,1.0,3.0,1.0,3.0,6.0,0.2608695652173913,2010-06-11,2010-05-26,Australia,20.0,52144.6654705468,42816.5674002829,49701.2817843335,41051.6120652288,2.333219008687869,1.8257286963832209,2.200287993098601,1.7297072215398483,0.929,0.927,0.924,0.919,82.013,81.728,81.427,81.232,12.02999973,11.98999977,11.93999958,11.71000004
2014,Australia,Brazil,Group stage,1.0,3.0,0.0,3.0,9.0,0.0869565217391304,2014-06-12,2014-06-05,Australia,62.0,62544.0873773726,68190.7010035651,68072.8732340801,62605.600458306,2.8989941357855105,3.206195206254,3.199784847884728,2.90234072288382,0.937,0.935,0.938,0.933,82.518,82.551,82.297,82.091,12.17000008,12.02000046,12.30000019,12.11999989
2018,Australia,Russia,Group stage,1.0,3.0,0.0,2.0,5.0,0.0434782608695652,2018-06-14,2018-06-07,Australia,36.0,57196.4220783778,53901.7145392154,49888.0410842736,56739.0265346593,2.60805719320137,2.428810347230474,2.2104485354447987,2.583172827108734,0.945,0.94,0.939,0.938,83.258,82.718,82.801,82.605,12.46000004,12.31999969,12.35000038,12.25
2022,Australia,Qatar,Round of 16,2.0,4.0,2.0,4.0,6.0,0.0769230769230769,2022-11-20,2022-10-06,Australia,38.0,64997.0136536475,60607.7788605166,51791.540179984,54972.7017885437,3.032444311012046,2.7936502804212626,2.314007411356826,2.487076850170504,0.952,0.954,0.95,0.947,82.766,83.564,83.664,83.241,12.86999989,12.77999973,12.64000034,12.56000042
