iso3,country,hdicode,region,hdi_rank_2023,year,hdi,norm_hdi
URY,Uruguay,Very High,LAC,48.0,1991,0.717,0.25824829200289656
DZA,Algeria,High,AS,96.0,1992,0.601,-0.4418973644306211
AGO,Angola,Medium,SSA,148.0,1992,0.379,-1.7818312931223532
ARG,Argentina,Very High,LAC,47.0,1992,0.743,0.41517749085868516
AUS,Australia,Very High,Developed,7.0,1992,0.868,1.1696447930499758
AUT,Austria,Very High,Developed,22.0,1992,0.841,1.006679855776657
BEL,Belgium,Very High,Developed,10.0,1992,0.845,1.0308228094467782
BOL,Bolivia,High,LAC,108.0,1992,0.568,-0.6410767322091221
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1992,0.674,-0.0012884599509069726
BRA,Brazil,High,LAC,84.0,1992,0.648,-0.15821765880669558
BGR,Bulgaria,Very High,Developed,55.0,1992,0.709,0.20996238466265393
CMR,Cameroon,Medium,SSA,155.0,1992,0.442,-1.4015797728179427
CAN,Canada,Very High,Developed,16.0,1992,0.873,1.1998234851376275
CHL,Chile,Very High,LAC,45.0,1992,0.73,0.33671289143079086
CHN,China,High,EAP,78.0,1992,0.511,-0.9851138220083502
COL,Colombia,High,LAC,83.0,1992,0.639,-0.21253930456446854
CRI,Costa Rica,Very High,LAC,62.0,1992,0.691,0.10131909314710798
HRV,Croatia,Very High,Developed,41.0,1992,0.713,0.23410533833277525
CZE,Czech Republic,Very High,Developed,29.0,1992,0.752,0.46949913661645815
CIV,Ivory Coast,Medium,SSA,157.0,1992,0.392,-1.703366693694459
DNK,Denmark,Very High,Developed,4.0,1992,0.85,1.0610015015344298
ECU,Ecuador,High,LAC,88.0,1992,0.654,-0.12200322830151358
EGY,Egypt,High,AS,100.0,1992,0.586,-0.5324334406935761
FRA,France,Very High,Developed,26.0,1992,0.814,0.843714918503338
DEU,Germany,Very High,Developed,5.0,1992,0.849,1.0549657631168996
GHA,Ghana,Medium,SSA,143.0,1992,0.444,-1.389508295982882
GRC,Greece,Very High,Developed,34.0,1992,0.782,0.6505712891423681
HND,Honduras,Medium,LAC,139.0,1992,0.523,-0.9126849609979862
ISL,Iceland,Very High,Developed,1.0,1992,0.86,1.1213588857097332
IRN,Iran,High,SA,75.0,1992,0.652,-0.13407470513657424
IRL,Republic of Ireland,Very High,Developed,11.0,1992,0.787,0.6807499812300197
ITA,Italy,Very High,Developed,29.0,1992,0.8,0.759214580657914
JAM,Jamaica,High,LAC,117.0,1992,0.664,-0.061645844126210284
JPN,Japan,Very High,Developed,23.0,1992,0.859,1.115323147292203
PRK,North Korea,Other Countries or Territories,EAP,,1992,0.58236,-0.5544035285333864
KOR,South Korea,Very High,Developed,20.0,1992,0.759,0.5117493055391705
MEX,Mexico,High,LAC,81.0,1992,0.672,-0.013359936785967634
MAR,Morocco,High,AS,120.0,1992,0.461,-1.2869007428848664
NLD,Netherlands,Very High,Developed,8.0,1992,0.861,1.1273946241272637
NZL,New Zealand,Very High,Developed,17.0,1992,0.822,0.8920008258435806
NGA,Nigeria,Medium,SSA,164.0,1992,0.388,-1.7275096473645803
NOR,Norway,Very High,Developed,2.0,1992,0.868,1.1696447930499758
PAN,Panama,Very High,LAC,59.0,1992,0.68,0.034925970554275015
PRY,Paraguay,High,LAC,99.0,1992,0.619,-0.33325407291507514
PER,Peru,High,LAC,79.0,1992,0.629,-0.27289668873977185
POL,Poland,Very High,Developed,35.0,1992,0.724,0.3004984609256089
PRT,Portugal,Very High,Developed,40.0,1992,0.735,0.36689158351844253
QAT,Qatar,Very High,AS,43.0,1992,0.77,0.5781424281320041
ROU,Romania,Very High,Developed,55.0,1992,0.694,0.11942630839969898
RUS,Russia,Very High,Developed,64.0,1992,0.744,0.4212132292762155
SAU,Saudi Arabia,Very High,AS,37.0,1992,0.688,0.08321187789451699
SEN,Senegal,Low,SSA,169.0,1992,0.381,-1.7697598162872925
SRB,Serbia,Very High,ECA,62.0,1992,0.686,0.071140401059457
SVK,Slovakia,Very High,Developed,44.0,1992,0.702,0.16771221573994163
SVN,Slovenia,Very High,Developed,21.0,1992,0.741,0.4031060140236245
ZAF,South Africa,High,SSA,106.0,1992,0.645,-0.17632487405928657
ESP,Spain,Very High,Developed,28.0,1992,0.781,0.6445355507248377
SWE,Sweden,Very High,Developed,5.0,1992,0.829,0.9342509947662929
CHE,Switzerland,Very High,Developed,2.0,1992,0.863,1.1394661009623241
TGO,Togo,Medium,SSA,161.0,1992,0.406,-1.6188663558490344
TTO,Trinidad and Tobago,Very High,LAC,72.0,1992,0.665,-0.05561010570867995
TUN,Tunisia,High,AS,105.0,1992,0.582,-0.5565763943636974
TUR,Turkey,Very High,ECA,51.0,1992,0.608,-0.3996471955079088
UKR,Ukraine,High,ECA,87.0,1992,0.733,0.3548201066833819
USA,United States,Very High,Developed,17.0,1992,0.882,1.2541451308954006
URY,Uruguay,Very High,LAC,48.0,1992,0.719,0.2703197688379572
DZA,Algeria,High,AS,96.0,1993,0.603,-0.42982588759556045
AGO,Angola,Medium,SSA,148.0,1993,0.379,-1.7818312931223532
ARG,Argentina,Very High,LAC,47.0,1993,0.748,0.44535618294633683
AUS,Australia,Very High,Developed,7.0,1993,0.872,1.1937877467200972
AUT,Austria,Very High,Developed,22.0,1993,0.845,1.0308228094467782
BEL,Belgium,Very High,Developed,10.0,1993,0.86,1.1213588857097332
BOL,Bolivia,High,LAC,108.0,1993,0.577,-0.5867550864513491
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1993,0.674,-0.0012884599509069726
BRA,Brazil,High,LAC,84.0,1993,0.654,-0.12200322830151358
BGR,Bulgaria,Very High,Developed,55.0,1993,0.711,0.2220338614977146
CMR,Cameroon,Medium,SSA,155.0,1993,0.436,-1.4377942033231248
CAN,Canada,Very High,Developed,16.0,1993,0.871,1.1877520083025668
CHL,Chile,Very High,LAC,45.0,1993,0.725,0.30653419934313925
CHN,China,High,EAP,78.0,1993,0.522,-0.9187206994155166
COL,Colombia,High,LAC,83.0,1993,0.645,-0.17632487405928657
CRI,Costa Rica,Very High,LAC,62.0,1993,0.696,0.13149778523475963
HRV,Croatia,Very High,Developed,41.0,1993,0.713,0.23410533833277525
CZE,Czech Republic,Very High,Developed,29.0,1993,0.76,0.5177850439567008
CIV,Ivory Coast,Medium,SSA,157.0,1993,0.393,-1.6973309552769287
DNK,Denmark,Very High,Developed,4.0,1993,0.853,1.0791087167870208
ECU,Ecuador,High,LAC,88.0,1993,0.66,-0.0857887977963316
EGY,Egypt,High,AS,100.0,1993,0.593,-0.4901832717708638
FRA,France,Very High,Developed,26.0,1993,0.818,0.8678578721734593
DEU,Germany,Very High,Developed,5.0,1993,0.859,1.115323147292203
GHA,Ghana,Medium,SSA,143.0,1993,0.45,-1.3532938654777
GRC,Greece,Very High,Developed,34.0,1993,0.784,0.6626427659774288
HND,Honduras,Medium,LAC,139.0,1993,0.529,-0.8764705304928043
ISL,Iceland,Very High,Developed,1.0,1993,0.863,1.1394661009623241
IRN,Iran,High,SA,75.0,1993,0.658,-0.09786027463139227
IRL,Republic of Ireland,Very High,Developed,11.0,1993,0.794,0.723000150152732
ITA,Italy,Very High,Developed,29.0,1993,0.806,0.7954290111630961
JAM,Jamaica,High,LAC,117.0,1993,0.664,-0.061645844126210284
JPN,Japan,Very High,Developed,23.0,1993,0.865,1.1515375777973849
PRK,North Korea,Other Countries or Territories,EAP,,1993,0.58612,-0.5317091520834724
KOR,South Korea,Very High,Developed,20.0,1993,0.77,0.5781424281320041
MEX,Mexico,High,LAC,81.0,1993,0.675,0.004747278466623359
MAR,Morocco,High,AS,120.0,1993,0.468,-1.244650573962154
NLD,Netherlands,Very High,Developed,8.0,1993,0.863,1.1394661009623241
NZL,New Zealand,Very High,Developed,17.0,1993,0.838,0.9885726405240659
NGA,Nigeria,Medium,SSA,164.0,1993,0.393,-1.6973309552769287
NOR,Norway,Very High,Developed,2.0,1993,0.875,1.2118949619726882
PAN,Panama,Very High,LAC,59.0,1993,0.686,0.071140401059457
PRY,Paraguay,High,LAC,99.0,1993,0.626,-0.29100390399236287
PER,Peru,High,LAC,79.0,1993,0.633,-0.24875373506965054
POL,Poland,Very High,Developed,35.0,1993,0.737,0.3789630603535032
PRT,Portugal,Very High,Developed,40.0,1993,0.751,0.46346339819892785
QAT,Qatar,Very High,AS,43.0,1993,0.778,0.6264283354722467
ROU,Romania,Very High,Developed,55.0,1993,0.692,0.1073548315646383
RUS,Russia,Very High,Developed,64.0,1993,0.725,0.30653419934313925
SAU,Saudi Arabia,Very High,AS,37.0,1993,0.693,0.11339056998216865
SEN,Senegal,Low,SSA,169.0,1993,0.382,-1.7637240778697623
SRB,Serbia,Very High,ECA,62.0,1993,0.686,0.071140401059457
SVK,Slovakia,Very High,Developed,44.0,1993,0.71,0.21599812308018426
SVN,Slovenia,Very High,Developed,21.0,1993,0.746,0.4332847061112762
ZAF,South Africa,High,SSA,106.0,1993,0.65,-0.14614618197163493
ESP,Spain,Very High,Developed,28.0,1993,0.789,0.6928214580650804
SWE,Sweden,Very High,Developed,5.0,1993,0.85,1.0610015015344298
CHE,Switzerland,Very High,Developed,2.0,1993,0.867,1.1636090546324456
TGO,Togo,Medium,SSA,161.0,1993,0.404,-1.6309378326840949
TTO,Trinidad and Tobago,Very High,LAC,72.0,1993,0.667,-0.04353862887361929
TUN,Tunisia,High,AS,105.0,1993,0.587,-0.5263977022760458
TUR,Turkey,Very High,ECA,51.0,1993,0.615,-0.3573970265851965
UKR,Ukraine,High,ECA,87.0,1993,0.721,0.28239124567301793
USA,United States,Very High,Developed,17.0,1993,0.884,1.266216607730461
URY,Uruguay,Very High,LAC,48.0,1993,0.722,0.28842698409054823
DZA,Algeria,High,AS,96.0,1994,0.603,-0.42982588759556045
AGO,Angola,Medium,SSA,148.0,1994,0.379,-1.7818312931223532
ARG,Argentina,Very High,LAC,47.0,1994,0.753,0.4755348750339885
AUS,Australia,Very High,Developed,7.0,1994,0.873,1.1998234851376275
AUT,Austria,Very High,Developed,22.0,1994,0.851,1.0670372399519603
BEL,Belgium,Very High,Developed,10.0,1994,0.868,1.1696447930499758
BOL,Bolivia,High,LAC,108.0,1994,0.586,-0.5324334406935761
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1994,0.674,-0.0012884599509069726
BRA,Brazil,High,LAC,84.0,1994,0.659,-0.09182453621386194
BGR,Bulgaria,Very High,Developed,55.0,1994,0.713,0.23410533833277525
CMR,Cameroon,Medium,SSA,155.0,1994,0.434,-1.4498656801581853
CAN,Canada,Very High,Developed,16.0,1994,0.877,1.223966438807749
CHL,Chile,Very High,LAC,45.0,1994,0.73,0.33671289143079086
CHN,China,High,EAP,78.0,1994,0.532,-0.8583633152402133
COL,Colombia,High,LAC,83.0,1994,0.65,-0.14614618197163493
CRI,Costa Rica,Very High,LAC,62.0,1994,0.701,0.16167647732241128
HRV,Croatia,Very High,Developed,41.0,1994,0.713,0.23410533833277525
CZE,Czech Republic,Very High,Developed,29.0,1994,0.771,0.5841781665495345
CIV,Ivory Coast,Medium,SSA,157.0,1994,0.396,-1.6792237400243375
DNK,Denmark,Very High,Developed,4.0,1994,0.859,1.115323147292203
ECU,Ecuador,High,LAC,88.0,1994,0.667,-0.04353862887361929
EGY,Egypt,High,AS,100.0,1994,0.601,-0.4418973644306211
FRA,France,Very High,Developed,26.0,1994,0.832,0.952358210018884
DEU,Germany,Very High,Developed,5.0,1994,0.865,1.1515375777973849
GHA,Ghana,Medium,SSA,143.0,1994,0.453,-1.335186650225109
GRC,Greece,Very High,Developed,34.0,1994,0.79,0.6988571964826107
HND,Honduras,Medium,LAC,139.0,1994,0.532,-0.8583633152402133
ISL,Iceland,Very High,Developed,1.0,1994,0.868,1.1696447930499758
IRN,Iran,High,SA,75.0,1994,0.664,-0.061645844126210284
IRL,Republic of Ireland,Very High,Developed,11.0,1994,0.805,0.7893932727455657
ITA,Italy,Very High,Developed,29.0,1994,0.816,0.8557863953383986
JAM,Jamaica,High,LAC,117.0,1994,0.664,-0.061645844126210284
JPN,Japan,Very High,Developed,23.0,1994,0.872,1.1937877467200972
PRK,North Korea,Other Countries or Territories,EAP,,1994,0.59032,-0.5063590507298451
KOR,South Korea,Very High,Developed,20.0,1994,0.779,0.6324640738897771
MEX,Mexico,High,LAC,81.0,1994,0.68,0.034925970554275015
MAR,Morocco,High,AS,120.0,1994,0.48,-1.1722217129517905
NLD,Netherlands,Very High,Developed,8.0,1994,0.889,1.2963952998181127
NZL,New Zealand,Very High,Developed,17.0,1994,0.852,1.0730729783694906
NGA,Nigeria,Medium,SSA,164.0,1994,0.397,-1.6731880016068073
NOR,Norway,Very High,Developed,2.0,1994,0.89,1.3024310382356432
PAN,Panama,Very High,LAC,59.0,1994,0.688,0.08321187789451699
PRY,Paraguay,High,LAC,99.0,1994,0.631,-0.2608252119047112
PER,Peru,High,LAC,79.0,1994,0.644,-0.1823606124768169
POL,Poland,Very High,Developed,35.0,1994,0.747,0.43932044452880653
PRT,Portugal,Very High,Developed,40.0,1994,0.765,0.5479637360443524
QAT,Qatar,Very High,AS,43.0,1994,0.784,0.6626427659774288
ROU,Romania,Very High,Developed,55.0,1994,0.695,0.1254620468172293
RUS,Russia,Very High,Developed,64.0,1994,0.712,0.22806959991524492
SAU,Saudi Arabia,Very High,AS,37.0,1994,0.699,0.14960500048735062
SEN,Senegal,Low,SSA,169.0,1994,0.382,-1.7637240778697623
SRB,Serbia,Very High,ECA,62.0,1994,0.686,0.071140401059457
SVK,Slovakia,Very High,Developed,44.0,1994,0.72,0.2763555072554876
SVN,Slovenia,Very High,Developed,21.0,1994,0.756,0.49364209028657946
ZAF,South Africa,High,SSA,106.0,1994,0.654,-0.12200322830151358
ESP,Spain,Very High,Developed,28.0,1994,0.798,0.7471431038228534
SWE,Sweden,Very High,Developed,5.0,1994,0.862,1.133430362544794
CHE,Switzerland,Very High,Developed,2.0,1994,0.87,1.1817162698850365
TGO,Togo,Medium,SSA,161.0,1994,0.413,-1.5766161869263222
TTO,Trinidad and Tobago,Very High,LAC,72.0,1994,0.672,-0.013359936785967634
TUN,Tunisia,High,AS,105.0,1994,0.598,-0.4600045796832121
TUR,Turkey,Very High,ECA,51.0,1994,0.616,-0.35136128816766615
UKR,Ukraine,High,ECA,87.0,1994,0.706,0.19185516941006295
USA,United States,Very High,Developed,17.0,1994,0.887,1.2843238229830523
URY,Uruguay,Very High,LAC,48.0,1994,0.727,0.3186056761781999
DZA,Algeria,High,AS,96.0,1995,0.608,-0.3996471955079088
AGO,Angola,Medium,SSA,148.0,1995,0.379,-1.7818312931223532
ARG,Argentina,Very High,LAC,47.0,1995,0.754,0.4815706134515188
AUS,Australia,Very High,Developed,7.0,1995,0.882,1.2541451308954006
AUT,Austria,Very High,Developed,22.0,1995,0.856,1.097215932039612
BEL,Belgium,Very High,Developed,10.0,1995,0.875,1.2118949619726882
BOL,Bolivia,High,LAC,108.0,1995,0.594,-0.48414753335333344
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1995,0.674,-0.0012884599509069726
BRA,Brazil,High,LAC,84.0,1995,0.666,-0.04957436729114962
BGR,Bulgaria,Very High,Developed,55.0,1995,0.709,0.20996238466265393
CMR,Cameroon,Medium,SSA,155.0,1995,0.433,-1.4559014185757158
CAN,Canada,Very High,Developed,16.0,1995,0.881,1.2481093924778701
CHL,Chile,Very High,LAC,45.0,1995,0.739,0.39103453718856385
CHN,China,High,EAP,78.0,1995,0.543,-0.7919701926473797
COL,Colombia,High,LAC,83.0,1995,0.655,-0.11596748988398325
CRI,Costa Rica,Very High,LAC,62.0,1995,0.706,0.19185516941006295
HRV,Croatia,Very High,Developed,41.0,1995,0.713,0.23410533833277525
CZE,Czech Republic,Very High,Developed,29.0,1995,0.781,0.6445355507248377
CIV,Ivory Coast,Medium,SSA,157.0,1995,0.399,-1.6611165247717465
DNK,Denmark,Very High,Developed,4.0,1995,0.862,1.133430362544794
ECU,Ecuador,High,LAC,88.0,1995,0.672,-0.013359936785967634
EGY,Egypt,High,AS,100.0,1995,0.609,-0.3936114570903785
