country,iso3,year,gdp_per_capita,norm_gdp_per_capita
Russia,RUS,2004,4102.36474609375,-0.28049731535124245
Saudi Arabia,SAU,2004,13154.4978989446,0.21197926949598042
Senegal,SEN,2004,918.102079522155,-0.45373546560931877
Serbia,SRB,2004,3597.08798057009,-0.3079866343532917
Slovakia,SVK,2004,10650.1290097126,0.07573038573114281
Slovenia,SVN,2004,17103.8297783905,0.42684061141131036
Sweden,SWE,2004,42758.2015503417,1.8225533327462318
Togo,TGO,2004,560.266308533382,-0.4732033341721253
Trinidad and Tobago,TTO,2004,9871.03419820086,0.03334413869227153
Tunisia,TUN,2004,3067.41936376975,-0.3368029793073463
Turkey,TUR,2004,5960.77898909049,-0.17939125734609335
Ukraine,UKR,2004,1401.01806640625,-0.4274626731113532
Uruguay,URY,2004,4168.66065438387,-0.2768905210241196
United States,USA,2004,41724.6411982614,1.7663230206384504
South Africa,ZAF,2004,5221.46333731721,-0.2196133399382762
Angola,AGO,2005,1916.46842218625,-0.39941986523541356
Argentina,ARG,2005,5067.65342293276,-0.22798128814149524
Australia,AUS,2005,34479.7679298388,1.3721694675878056
Austria,AUT,2005,38157.37022862,1.5722475033334096
Belgium,BEL,2005,36809.7013403619,1.4989282800754993
Bulgaria,BGR,2005,3899.82596332878,-0.29151633223388657
Bosnia and Herzegovina,BIH,2005,2739.61076866057,-0.354637235021105
Bolivia,BOL,2005,1020.12326200737,-0.4481850563649994
Brazil,BRA,2005,4827.78173074714,-0.24103138249764097
Canada,CAN,2005,36383.6600068095,1.4757497234404189
Switzerland,CHE,2005,56242.8933645639,2.556180960648942
Chile,CHL,2005,7480.32330998636,-0.0967212407828581
China,CHN,2005,1777.64496828464,-0.4069724828692615
Ivory Coast,CIV,2005,1197.74616979415,-0.43852157467064123
Cameroon,CMR,2005,1142.62466252106,-0.44152043153621146
Colombia,COL,2005,3456.06610874512,-0.31565885576811387
Costa Rica,CRI,2005,4703.00721784778,-0.24781967482068304
Czech Republic,CZE,2005,13442.4916284309,0.22764741820302414
Germany,DEU,2005,35084.4363546269,1.405066137994251
Denmark,DNK,2005,48925.8076698784,2.1580987281954442
Algeria,DZA,2005,3233.13339634212,-0.3277873937603308
Ecuador,ECU,2005,2909.02606014388,-0.34542028441269274
Egypt,EGY,2005,1105.53920713903,-0.4435380464017522
Spain,ESP,2005,26450.9530130382,0.9353659778654811
France,FRA,2005,34696.3718316971,1.383953689941866
Ghana,GHA,2005,478.611909191028,-0.4776456991977889
Greece,GRC,2005,22054.1315756886,0.6961591998512794
Honduras,HND,2005,1304.70039153826,-0.4327027859972838
Croatia,HRV,2005,10443.5278353294,0.06449035655043853
Republic of Ireland,IRL,2005,50933.0216095589,2.2673001561218857
Iran,IRN,2005,3132.05081925856,-0.3332867386671155
Iceland,ISL,2005,56794.8501588953,2.5862098822816226
Italy,ITA,2005,32062.723833669,1.2406714436626973
Jamaica,JAM,2005,4184.43974867497,-0.2760320676256501
Japan,JPN,2005,37812.8950199948,1.5535065092004583
South Korea,KOR,2005,19402.5026259549,0.5518987092689447
Morocco,MAR,2005,2242.98828125,-0.38165572253432334
Mexico,MEX,2005,8671.75891885163,-0.03190180763802533
Nigeria,NGA,2005,1211.37703504386,-0.4377799945531884
Netherlands,NLD,2005,42165.396168388,1.790302065000389
Norway,NOR,2005,67047.1704558264,3.1439820229844324
New Zealand,NZL,2005,27751.0654708859,1.0060979183204795
Panama,PAN,2005,5017.7410922824,-0.23069674246871236
Peru,PER,2005,2706.66947297608,-0.35642938903886057
Poland,POL,2005,8043.92332253757,-0.06605887593312562
North Korea,PRK,2005,,
Portugal,PRT,2005,18780.12751241,0.5180387156920753
Paraguay,PRY,2005,1970.87169852378,-0.39646008334944244
Qatar,QAT,2005,53949.6764091147,2.4314196877574035
Romania,ROU,2005,4618.00350802913,-0.25244425733664494
Russia,RUS,2005,5323.455078125,-0.2140645324530676
Saudi Arabia,SAU,2005,15975.7473782258,0.36546787655660873
Senegal,SEN,2005,979.846101520171,-0.45037631428279
Serbia,SRB,2005,3807.97417321786,-0.2965134809878997
Slovakia,SVK,2005,11641.5410321763,0.12966763994018343
Slovenia,SVN,2005,17969.7095907161,0.473948351174061
Sweden,SWE,2005,43378.6152117149,1.8563066145403038
Togo,TGO,2005,551.259850017077,-0.47369332585218377
Trinidad and Tobago,TTO,2005,12346.4373094075,0.16801715440496062
Tunisia,TUN,2005,3146.8260743927,-0.33248289861462843
Turkey,TUR,2005,7303.01388860245,-0.10636766741290439
