iso3,country,hdicode,region,hdi_rank_2023,year,mean_school_years,norm_mean_school_years
PAN,Panama,Very High,LAC,59.0,1991,7.456999874,-0.09356551110850374
PRY,Paraguay,High,LAC,99.0,1991,5.846381705,-0.5803076817127845
PER,Peru,High,LAC,79.0,1991,7.833122587,0.020101892664085193
POL,Poland,Very High,Developed,35.0,1991,9.855286304,0.6312165416071769
PRT,Portugal,Very High,Developed,40.0,1991,5.440000057,-0.7031195866375107
QAT,Qatar,Very High,AS,43.0,1991,6.545606124,-0.36899626228747867
ROU,Romania,Very High,Developed,55.0,1991,8.592114654,0.24947559108224163
RUS,Russia,Very High,Developed,64.0,1991,9.841942961,0.6271840726707502
SAU,Saudi Arabia,Very High,AS,37.0,1991,5.675527173,-0.6319413385061212
SEN,Senegal,Low,SSA,169.0,1991,1.972216932,-1.7511124119608386
SRB,Serbia,Very High,ECA,62.0,1991,6.435418651,-0.40229583062323143
SVK,Slovakia,Very High,Developed,44.0,1991,7.159999847,-0.18332138285634691
SVN,Slovenia,Very High,Developed,21.0,1991,7.510000229,-0.07754836419433811
ZAF,South Africa,High,SSA,106.0,1991,7.056812991,-0.2145053066652129
ESP,Spain,Very High,Developed,28.0,1991,6.070000172,-0.5127283260903645
SWE,Sweden,Very High,Developed,5.0,1991,9.710000038,0.5873098268855012
CHE,Switzerland,Very High,Developed,2.0,1991,10.52396168,0.8332957868363254
TGO,Togo,Medium,SSA,161.0,1991,2.40077024,-1.6216000474721919
TTO,Trinidad and Tobago,Very High,LAC,72.0,1991,7.419444455,-0.104915070249118
TUN,Tunisia,High,AS,105.0,1991,3.605425704,-1.2575431737429432
TUR,Turkey,Very High,ECA,51.0,1991,4.512082037,-0.9835441092778152
UKR,Ukraine,High,ECA,87.0,1991,9.461840766,0.5123140364283166
USA,United States,Very High,Developed,17.0,1991,13.02749968,1.5898857370582888
URY,Uruguay,Very High,LAC,48.0,1991,7.1930358,-0.17333764382949576
DZA,Algeria,High,AS,96.0,1992,4.283305838,-1.0526821742935566
AGO,Angola,Medium,SSA,148.0,1992,3.387140553,-1.3235107570307876
ARG,Argentina,Very High,LAC,47.0,1992,8.257999611,0.14850325363348782
AUS,Australia,Very High,Developed,7.0,1992,11.26945686,1.0585906140476216
AUT,Austria,Very High,Developed,22.0,1992,10.38071428,0.7900052343320593
BEL,Belgium,Very High,Developed,10.0,1992,9.685802636,0.5799971712858334
BOL,Bolivia,High,LAC,108.0,1992,6.210000038,-0.47041920529889986
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1992,6.612996281,-0.34863039784680294
BRA,Brazil,High,LAC,84.0,1992,3.976937169,-1.1452693273658405
BGR,Bulgaria,Very High,Developed,55.0,1992,7.369999886,-0.11985762913915947
CMR,Cameroon,Medium,SSA,155.0,1992,2.304902936,-1.650571941951634
CAN,Canada,Very High,Developed,16.0,1992,11.09400005,1.0055661106672038
CHL,Chile,Very High,LAC,45.0,1992,8.543694594,0.2348426473102101
CHN,China,High,EAP,78.0,1992,4.53599987,-0.976315941748947
COL,Colombia,High,LAC,83.0,1992,6.448591632,-0.39831484649634175
CRI,Costa Rica,Very High,LAC,62.0,1992,6.990766706,-0.23446504184019168
HRV,Croatia,Very High,Developed,41.0,1992,7.167000151,-0.18120583292065648
CZE,Czech Republic,Very High,Developed,29.0,1992,9.478666623,0.5173989499826834
CIV,Ivory Coast,Medium,SSA,157.0,1992,2.148703472,-1.6977767156329033
DNK,Denmark,Very High,Developed,4.0,1992,11.52000014,1.1343068714975375
ECU,Ecuador,High,LAC,88.0,1992,6.864117622,-0.27273944556772317
EGY,Egypt,High,AS,100.0,1992,5.629016639,-0.645997207681607
FRA,France,Very High,Developed,26.0,1992,7.934285845,0.050674268371788206
DEU,Germany,Very High,Developed,5.0,1992,10.78427828,0.9119656226590498
GHA,Ghana,Medium,SSA,143.0,1992,4.438725704,-1.0057130015945825
GRC,Greece,Very High,Developed,34.0,1992,8.069285767,0.09147236461236824
HND,Honduras,Medium,LAC,139.0,1992,4.023345366,-1.131244385280631
ISL,Iceland,Very High,Developed,1.0,1992,10.74109186,0.8989143283075895
IRN,Iran,High,SA,75.0,1992,6.304397833,-0.44189140862870235
IRL,Republic of Ireland,Very High,Developed,11.0,1992,9.41000042,0.49664745385612086
ITA,Italy,Very High,Developed,29.0,1992,7.699289145,-0.02034368364464836
JAM,Jamaica,High,LAC,117.0,1992,6.853499961,-0.27594819079446387
JPN,Japan,Very High,Developed,23.0,1992,11.72900028,1.1974684474428527
PRK,North Korea,Other Countries or Territories,EAP,,1992,6.432863077720001,-0.40306814606669694
KOR,South Korea,Very High,Developed,20.0,1992,9.562000275,0.5425830708622126
MEX,Mexico,High,LAC,81.0,1992,6.091999817,-0.5060798508862931
MAR,Morocco,High,AS,120.0,1992,2.33,-1.6429874010329513
NLD,Netherlands,Very High,Developed,8.0,1992,11.22734423,1.045863827941153
NZL,New Zealand,Very High,Developed,17.0,1992,10.66699963,0.8765230418132228
NGA,Nigeria,Medium,SSA,164.0,1992,3.104352656,-1.4089716052042938
NOR,Norway,Very High,Developed,2.0,1992,11.78428568,1.2141761539102607
PAN,Panama,Very High,LAC,59.0,1992,7.503999901,-0.07936171308811776
PRY,Paraguay,High,LAC,99.0,1992,5.949999809,-0.548993431181155
