iso3,country,hdicode,region,hdi_rank_2023,year,life_expectancy,norm_life_expectancy
PER,Peru,High,LAC,79.0,1992,65.031,-0.3772693590983095
POL,Poland,Very High,Developed,35.0,1992,70.9,0.23819300273829952
PRT,Portugal,Very High,Developed,40.0,1992,74.871,0.6546184651429967
QAT,Qatar,Very High,AS,43.0,1992,73.876,0.5502761495820119
ROU,Romania,Very High,Developed,55.0,1992,69.506,0.09200889430411374
RUS,Russia,Very High,Developed,64.0,1992,67.843,-0.08238434265861906
SAU,Saudi Arabia,Very High,AS,37.0,1992,69.799,0.1227348224039826
SEN,Senegal,Low,SSA,169.0,1992,57.287,-1.1893566874443147
SRB,Serbia,Very High,ECA,62.0,1992,71.628,0.3145359230683469
SVK,Slovakia,Very High,Developed,44.0,1992,71.365,0.2869559944326285
SVN,Slovenia,Very High,Developed,21.0,1992,73.419,0.5023520910781211
ZAF,South Africa,High,SSA,106.0,1992,62.839,-0.6071370532788942
ESP,Spain,Very High,Developed,28.0,1992,77.589,0.9396460165950168
SWE,Sweden,Very High,Developed,5.0,1992,78.071,0.990191741319032
CHE,Switzerland,Very High,Developed,2.0,1992,77.944,0.9768736769207961
TGO,Togo,Medium,SSA,161.0,1992,54.077,-1.5259786301083997
TTO,Trinidad and Tobago,Very High,LAC,72.0,1992,67.78,-0.088990941533335
TUN,Tunisia,High,AS,105.0,1992,69.684,0.1106751577914054
TUR,Turkey,Very High,ECA,51.0,1992,68.603,-0.002685689566811722
UKR,Ukraine,High,ECA,87.0,1992,68.947,0.0333884376221129
USA,United States,Very High,Developed,17.0,1992,75.779,0.7498373822579468
URY,Uruguay,Very High,LAC,48.0,1992,73.185,0.4778132952577491
DZA,Algeria,High,AS,96.0,1993,67.797,-0.08720820850365024
AGO,Angola,Medium,SSA,148.0,1993,42.19,-2.7725284844535647
ARG,Argentina,Very High,LAC,47.0,1993,72.303,0.38532091101172894
AUS,Australia,Very High,Developed,7.0,1993,78.006,0.9833754091467065
AUT,Austria,Very High,Developed,22.0,1993,76.225,0.7966079076249815
BEL,Belgium,Very High,Developed,10.0,1993,76.363,0.8110795051600735
BOL,Bolivia,High,LAC,108.0,1993,58.66,-1.045374778635035
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1993,50.894,-1.8597691732547494
BRA,Brazil,High,LAC,84.0,1993,66.892,-0.18211252567218525
BGR,Bulgaria,Very High,Developed,55.0,1993,71.185,0.2680799976477273
CMR,Cameroon,Medium,SSA,155.0,1993,53.872,-1.547476293113427
CAN,Canada,Very High,Developed,16.0,1993,77.725,0.9539078808324978
CHL,Chile,Very High,LAC,45.0,1993,74.679,0.6344840685724353
CHN,China,High,EAP,78.0,1993,69.492,0.09054076122084402
COL,Colombia,High,LAC,83.0,1993,69.083,0.04765030185959393
CRI,Costa Rica,Very High,LAC,62.0,1993,76.315,0.8060459060174328
HRV,Croatia,Very High,Developed,41.0,1993,72.305,0.38553064430934
CZE,Czech Republic,Very High,Developed,29.0,1993,72.853,0.44299756785448463
CIV,Ivory Coast,Medium,SSA,157.0,1993,52.247,-1.7178845974215697
DNK,Denmark,Very High,Developed,4.0,1993,75.189,0.6879660594629899
ECU,Ecuador,High,LAC,88.0,1993,70.07,0.15115368423013917
EGY,Egypt,High,AS,100.0,1993,64.147,-0.46997147664193917
FRA,France,Very High,Developed,26.0,1993,77.349,0.9144780208818147
DEU,Germany,Very High,Developed,5.0,1993,76.08,0.7814022435482553
GHA,Ghana,Medium,SSA,143.0,1993,56.286,-1.2943282028981304
GRC,Greece,Very High,Developed,34.0,1993,77.691,0.9503424147731283
HND,Honduras,Medium,LAC,139.0,1993,66.074,-0.26789344439468393
ISL,Iceland,Very High,Developed,1.0,1993,78.809,1.0675833281371299
IRN,Iran,High,SA,75.0,1993,67.037,-0.1669068615954576
IRL,Republic of Ireland,Very High,Developed,11.0,1993,75.289,0.6984527243434919
ITA,Italy,Very High,Developed,29.0,1993,77.653,0.9463574821185382
JAM,Jamaica,High,LAC,117.0,1993,71.758,0.3281685874129978
JPN,Japan,Very High,Developed,23.0,1993,79.446,1.134383383425922
PRK,North Korea,Other Countries or Territories,EAP,,1993,70.794,0.22707713796496745
KOR,South Korea,Very High,Developed,20.0,1993,72.745,0.43167196978354455
